edge_id,source_node_id,target_node_id,distance_m,estimated_time_s,congestion_level,los,congestion_factor,free_flow_speed_kph,actual_speed_kph,road_type,street_name,street_level,date,time_period,source_row_id
29174,3160543548,366453620,48,19.749,gridlock,F,8,70,8.75,tertiary,Phú Hữu,4,2020-08-02,period_23_30,10479
29175,366453620,3160543548,48,12.343,severe,E,5,70,14.0,tertiary,Phú Hữu,4,2020-08-02,period_23_30,10481
29176,366453620,1996654934,49,20.16,gridlock,F,8,70,8.75,tertiary,Phú Hữu,4,2020-08-02,period_23_30,10483
29177,1996654934,366453620,49,12.6,severe,E,5,70,14.0,tertiary,Phú Hữu,4,2020-08-02,period_23_30,10485
29340,1996654081,1996654183,3,0.309,moderate,C,2,70,35.0,primary,Phú Hữu,2,2020-08-02,period_23_30,10696
29341,1996654183,1996655115,3,0.771,severe,E,5,70,14.0,primary,Phú Hữu,2,2020-08-02,period_23_30,10698
29342,1996655115,4613947559,3,0.309,moderate,C,2,70,35.0,primary,Phú Hữu,2,2020-08-02,period_23_30,10700
29343,4613947559,1996655300,3,0.309,moderate,C,2,70,35.0,primary,Đường Hồng Bàng,2,2020-08-02,period_23_30,10702
29449,5813814373,1996745606,37,15.223,gridlock,F,8,70,8.75,tertiary,Phạm Đình Hổ,4,2020-08-02,period_23_30,10789
51666,1996654934,366409794,12,1.851,heavy,D,3,70,23.333,tertiary,Trang Tử,4,2020-08-02,period_23_30,22090
51667,366409794,1996654934,12,1.234,moderate,C,2,70,35.0,tertiary,Trang Tử,4,2020-08-02,period_23_30,22092
51668,366409794,5802782527,66,16.971,severe,E,5,70,14.0,tertiary,Trang Tử,4,2020-08-02,period_23_30,22094
51669,5802782527,366409794,66,10.183,heavy,D,3,70,23.333,tertiary,Trang Tử,4,2020-08-02,period_23_30,22096
51670,5802782527,5802782528,42,6.48,heavy,D,3,70,23.333,tertiary,Trang Tử,4,2020-08-02,period_23_30,22098
51671,5802782528,5802782527,42,2.16,light,B,1,70,70.0,tertiary,Trang Tử,4,2020-08-02,period_23_30,22100
51672,5802782528,1996745106,39,10.029,severe,E,5,70,14.0,tertiary,Trang Tử,4,2020-08-02,period_23_30,22102
51673,1996745106,5802782528,39,6.017,heavy,D,3,70,23.333,tertiary,Trang Tử,4,2020-08-02,period_23_30,22104
51674,1996745106,366468340,142,21.909,heavy,D,3,70,23.333,tertiary,Trang Tử,4,2020-08-02,period_23_30,22106
51675,366468340,1996745106,142,14.606,moderate,C,2,70,35.0,tertiary,Trang Tử,4,2020-08-02,period_23_30,22108
51676,366468340,4583483799,100,5.143,free_flow,A,1,70,70.0,tertiary,Trang Tử,4,2020-08-02,period_23_30,22110
51677,4583483799,366468340,100,10.286,moderate,C,2,70,35.0,tertiary,Trang Tử,4,2020-08-02,period_23_30,22112
58853,5778381627,5778381632,39,16.046,gridlock,F,8,70,8.75,tertiary,Nguyễn Chí Thanh,4,2020-08-02,period_23_30,25289
58854,5778381632,5778381627,39,4.011,moderate,C,2,70,35.0,tertiary,Nguyễn Chí Thanh,4,2020-08-02,period_23_30,25291
59153,5778381637,5778381638,107,11.006,moderate,C,2,70,35.0,tertiary,Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,25706
59154,5778381637,5778381636,39,6.017,heavy,D,3,70,23.333,tertiary,Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,25708
59156,5778381636,5778381635,45,18.514,gridlock,F,8,70,8.75,tertiary,Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,25712
59158,5778381635,5778381634,13,1.337,moderate,C,2,70,35.0,tertiary,Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,25716
59160,5778381634,5778381633,88,22.629,severe,E,5,70,14.0,tertiary,Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,25720
59162,5778381633,5778381632,26,6.686,severe,E,5,70,14.0,tertiary,Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,25724
61452,4658499310,3160564528,130,20.057,heavy,D,3,70,23.333,secondary,Tháp Mười,3,2020-08-02,period_23_30,26355
61453,4202268830,1996745606,17,4.371,severe,E,5,70,14.0,tertiary,Quận 11,4,2020-08-02,period_23_30,26357
61454,1996745606,4202268830,17,1.749,moderate,C,2,70,35.0,tertiary,Quận 11,4,2020-08-02,period_23_30,26359
61689,5778381638,5813814396,30,3.086,moderate,C,2,70,35.0,primary,Hồng Bàng,2,2020-08-02,period_23_30,26445
61690,5813814396,4202268830,78,32.091,gridlock,F,8,70,8.75,primary,Hồng Bàng,2,2020-08-02,period_23_30,26447
62685,5778381638,5778381629,9,2.314,severe,E,5,70,14.0,tertiary,Đường Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,26711
62686,5778381629,5778381638,9,0.926,moderate,C,2,70,35.0,tertiary,Đường Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,26713
62687,5778381629,366368264,10,1.543,heavy,D,3,70,23.333,tertiary,Đường Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,26715
62688,366368264,5778381629,10,1.543,heavy,D,3,70,23.333,tertiary,Đường Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,26717
62732,366429233,366440116,95,4.886,free_flow,A,1,70,70.0,tertiary,Nguyễn Trãi,4,2020-08-02,period_23_30,26808
63647,4851518980,4851518981,66,3.394,light,B,1,70,70.0,tertiary,Lê Quang Sung,4,2020-08-02,period_23_30,28552
64499,4851518981,1996654934,65,6.686,moderate,C,2,70,35.0,tertiary,Phú Hữu,4,2020-08-02,period_23_30,28721
64500,4851518981,4583475971,45,4.629,moderate,C,2,70,35.0,tertiary,Phú Hữu,4,2020-08-02,period_23_30,28723
64501,4583475971,4851518981,45,4.629,moderate,C,2,70,35.0,tertiary,Phú Hữu,4,2020-08-02,period_23_30,28725
67156,1996745606,5813814385,82,21.086,severe,E,5,70,14.0,primary,Hồng Bàng,2,2020-08-02,period_23_30,29036
67157,5813814385,366368264,23,2.366,moderate,C,2,70,35.0,primary,Hồng Bàng,2,2020-08-02,period_23_30,29038
